                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3241,                 5.4143,                 1.9528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.7733,                 3.9356,                 1.3637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000297,               0.000297,               0.000297
                      3,                 1.5353,                 2.7948,                 1.2494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044649,             0.00044649,             0.00044649
                      4,                 1.4565,                 2.3311,                 1.2004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005929,              0.0005929,              0.0005929
                      5,                 1.4266,                 2.1341,                 1.1973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073623,             0.00073623,             0.00073623
                      6,                 1.3938,                 1.9149,                 1.1786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087648,             0.00087648,             0.00087648
                      7,                   1.35,                 1.6806,                 1.1566,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010137,              0.0010137,              0.0010137
                      8,                 1.3186,                 1.5493,                  1.161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001034,               0.001034,               0.001034
                      9,                 1.3308,                  1.425,                 1.1721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001023,               0.001023,               0.001023
                     10,                 1.2487,                 1.3558,                 1.1352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001012,               0.001012,               0.001012
                     11,                 1.2649,                 1.2762,                 1.1284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001001,               0.001001,               0.001001
                     12,                 1.2634,                 1.2143,                 1.1197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.2453,                 1.1273,                 1.1227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097901,             0.00097901,             0.00097901
                     14,                  1.207,                 1.0763,                  1.096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.1796,                 1.0025,                 1.0908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.1815,                0.99513,                 1.0937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.1818,                0.98639,                 1.0932,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093502,             0.00093502,             0.00093502
                     18,                  1.181,                0.97069,                 1.0977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.1189,                0.89002,                 1.0612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.1311,                0.85966,                 1.0687,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.1135,                0.87538,                 1.0513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.1509,                0.85558,                 1.0782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.1105,                0.81494,                 1.0642,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.0824,                0.80531,                 1.0446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085803,             0.00085803,             0.00085803
                     25,                  1.085,                0.78695,                 1.0518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.0705,                0.77369,                 1.0378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.0626,                0.77503,                 1.0433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.0782,                0.75117,                 1.0361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.0411,                0.71632,                 1.0235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080303,             0.00080303,             0.00080303
                     30,                  1.039,                0.71074,                 1.0268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079203,             0.00079203,             0.00079203
                     31,                  1.042,                 0.6874,                  1.031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.0184,                0.69792,                  1.023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.0142,                0.66078,                 1.0162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00075904,             0.00075904,             0.00075904
