                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8216,                 5.5885,                 2.3073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014443,             0.00014443,             0.00014443
                      2,                 2.0615,                 4.4986,                 1.6411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000297,               0.000297,               0.000297
                      3,                 1.8398,                  3.382,                 1.4754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044649,             0.00044649,             0.00044649
                      4,                  1.731,                 2.8869,                 1.4313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005929,              0.0005929,              0.0005929
                      5,                 1.7111,                 2.6045,                 1.4115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073623,             0.00073623,             0.00073623
                      6,                 1.6689,                 2.3332,                 1.3641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087648,             0.00087648,             0.00087648
                      7,                 1.6299,                  2.119,                 1.3492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010137,              0.0010137,              0.0010137
                      8,                 1.6387,                 2.0027,                 1.3581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001034,               0.001034,               0.001034
                      9,                 1.5888,                  1.835,                 1.3556,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001023,               0.001023,               0.001023
                     10,                  1.576,                 1.7671,                 1.3403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001012,               0.001012,               0.001012
                     11,                 1.6065,                 1.6317,                 1.3545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001001,               0.001001,               0.001001
                     12,                 1.5867,                  1.564,                 1.3353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099001,             0.00099001,             0.00099001
                     13,                  1.531,                 1.4696,                 1.3138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.5322,                 1.4489,                 1.3183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.4655,                   1.34,                 1.2739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.4517,                 1.3477,                 1.2869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.4833,                 1.3102,                 1.2841,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.4092,                 1.2374,                 1.2726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.4477,                 1.2263,                 1.2841,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.4192,                 1.1817,                 1.2577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.4112,                 1.1513,                  1.263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.3976,                 1.1016,                 1.2431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.3931,                 1.0926,                 1.2514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.3705,                 1.0642,                 1.2414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085803,             0.00085803,             0.00085803
                     25,                  1.379,                 1.0509,                 1.2397,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.3751,                 1.0292,                  1.224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.3458,                0.99507,                 1.2337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.3351,                 0.9958,                 1.2242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.3079,                0.95063,                 1.2073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.3167,                0.94363,                 1.2049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.3115,                0.95173,                 1.1946,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078103,             0.00078103,             0.00078103
                     32,                  1.269,                0.90259,                 1.1847,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.3064,                0.92667,                 1.1908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.2979,                0.91316,                 1.1927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00074804,             0.00074804,             0.00074804
                     35,                  1.276,                0.86756,                 1.1847,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.2671,                0.85904,                 1.1728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2661,                 0.8432,                 1.1727,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.2375,                0.83496,                 1.1604,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.2291,                0.82444,                 1.1564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.2344,                0.80221,                 1.1531,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2245,                0.79634,                 1.1561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.1986,                0.78021,                 1.1394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.2045,                0.80784,                 1.1549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.2209,                0.80247,                 1.1585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.1904,                0.79441,                 1.1286,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.1699,                0.74849,                 1.1353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.1558,                0.76226,                 1.1223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.1607,                0.76509,                  1.128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.1525,                0.73167,                 1.1103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.1403,                0.71892,                 1.1043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.1487,                0.74389,                 1.1227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.1017,                0.72179,                 1.0953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.1238,                0.69152,                 1.1002,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.1145,                0.69473,                 1.1055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.0977,                0.68523,                 1.0924,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.0976,                0.68535,                 1.0945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.1213,                 0.6891,                 1.1067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.0941,                0.68189,                 1.0856,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.0892,                0.67804,                 1.0889,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.0464,                0.64864,                 1.0546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.0634,                0.66188,                 1.0676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.0497,                0.64517,                 1.0716,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.0497,                0.62577,                 1.0645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0332,                0.62281,                 1.0609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.0294,                0.62016,                 1.0583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.0101,                0.61997,                 1.0454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.0006,                0.60815,                 1.0495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038507,             0.00038507,             0.00038507
                     68,                0.99894,                0.59838,                 1.0414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037407,             0.00037407,             0.00037407
                     69,                0.99704,                0.60439,                 1.0369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.0042,                0.60057,                 1.0428,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00035208,             0.00035208,             0.00035208
                     71,                  1.013,                0.61377,                  1.053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034108,             0.00034108,             0.00034108
                     72,                0.99317,                0.59046,                 1.0329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.0018,                0.59716,                 1.0456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00031908,             0.00031908,             0.00031908
                     74,                0.99624,                0.58287,                 1.0332,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030808,             0.00030808,             0.00030808
                     75,                0.96744,                0.57949,                 1.0275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029708,             0.00029708,             0.00029708
                     76,                0.96101,                0.57726,                 1.0205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028608,             0.00028608,             0.00028608
                     77,                0.93529,                0.56561,                 1.0191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027508,             0.00027508,             0.00027508
                     78,                0.94598,                0.56558,                 1.0067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026408,             0.00026408,             0.00026408
                     79,                 0.9258,                0.55314,                 1.0027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025309,             0.00025309,             0.00025309
                     80,                 0.9348,                0.56596,                 1.0067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024209,             0.00024209,             0.00024209
                     81,                0.92805,                 0.5523,                 1.0053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023109,             0.00023109,             0.00023109
                     82,                0.93214,                0.55656,                 1.0153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022009,             0.00022009,             0.00022009
                     83,                0.93911,                0.55198,                 1.0026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020909,             0.00020909,             0.00020909
                     84,                0.89699,                0.52879,                0.99574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019809,             0.00019809,             0.00019809
                     85,                0.92236,                0.54556,                0.99751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018709,             0.00018709,             0.00018709
                     86,                0.89793,                0.53923,                0.99429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017609,             0.00017609,             0.00017609
                     87,                0.91328,                  0.528,                0.99933,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016509,             0.00016509,             0.00016509
                     88,                0.89332,                0.52696,                0.99317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001541,              0.0001541,              0.0001541
                     89,                0.89849,                0.53098,                 0.9964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001431,              0.0001431,              0.0001431
                     90,                0.89629,                0.52752,                0.98282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001321,              0.0001321,              0.0001321
                     91,                0.87067,                0.46591,                 1.0068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001211,              0.0001211,              0.0001211
                     92,                0.81912,                0.44258,                0.98372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.8013,                0.42486,                 0.9744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.79833,                0.43058,                0.97643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.78973,                0.43098,                 0.9733,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.77995,                0.41833,                0.95958,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.78368,                0.42353,                 0.9718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.77143,                0.41346,                0.96203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.76247,                0.41344,                0.96291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.74835,                   0.41,                0.95159,                0.62732,                0.77303,                0.77681,                 0.5655,                 1.2557,                0.77411,                 1.1587,             2.2109e-05,             2.2109e-05,             2.2109e-05
