                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7832,                 4.8117,                 1.4019,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.4515,                 3.3611,                 1.0878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000297,               0.000297,               0.000297
                      3,                 1.3445,                 2.3461,                 1.0808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044649,             0.00044649,             0.00044649
                      4,                 1.3479,                 2.0147,                 1.1184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005929,              0.0005929,              0.0005929
                      5,                 1.2377,                 1.6988,                 1.0353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073623,             0.00073623,             0.00073623
                      6,                 1.2544,                 1.6465,                 1.0504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087648,             0.00087648,             0.00087648
                      7,                 1.2288,                  1.579,                 1.0479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010137,              0.0010137,              0.0010137
                      8,                  1.241,                  1.473,                 1.0654,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001034,               0.001034,               0.001034
                      9,                 1.2464,                 1.4584,                 1.0586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001023,               0.001023,               0.001023
                     10,                 1.1912,                 1.3365,                 1.0136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001012,               0.001012,               0.001012
                     11,                 1.1426,                 1.2948,                 1.0113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001001,               0.001001,               0.001001
                     12,                 1.1739,                 1.2618,                 1.0206,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.1563,                 1.1913,                  1.029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.1532,                 1.1666,                 1.0133,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.1167,                  1.096,                0.99457,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.1166,                 1.0574,                0.99326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0798,                 1.0239,                0.99817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0841,                 1.0099,                0.98533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0986,                 1.0206,                0.99231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091302,             0.00091302,             0.00091302
